areaCode,areaName,areaType,date,newAdmissions,newCasesBySpecimenDate
E92000001,England,nation,2020-05-01,1081,4084
E92000001,England,nation,2020-04-30,1227,4304
E92000001,England,nation,2020-04-29,1295,4724
E92000001,England,nation,2020-04-28,1296,4105
E92000001,England,nation,2020-04-27,1344,4022
E92000001,England,nation,2020-04-26,1208,3132
E92000001,England,nation,2020-04-25,1080,3370
E92000001,England,nation,2020-04-24,1277,4346
E92000001,England,nation,2020-04-23,1289,4556
E92000001,England,nation,2020-04-22,1310,4796
E92000001,England,nation,2020-04-21,1495,3976
E92000001,England,nation,2020-04-20,1522,3672
E92000001,England,nation,2020-04-19,1475,3468
E92000001,England,nation,2020-04-18,1411,4102
E92000001,England,nation,2020-04-17,1674,4060
E92000001,England,nation,2020-04-16,1777,4344
E92000001,England,nation,2020-04-15,1608,4215
E92000001,England,nation,2020-04-14,1859,3538
E92000001,England,nation,2020-04-13,1912,3427
E92000001,England,nation,2020-04-12,1791,2937
E92000001,England,nation,2020-04-11,1955,3058
E92000001,England,nation,2020-04-10,2196,3580
E92000001,England,nation,2020-04-09,2340,4053
